7.1,"Design ""Create Recipe"" UI form","Design and implement the frontend UI for the “Create Recipe” page where users can enter all required recipe information. This task focuses only on the structure and layout of the form, ensuring all necessary fields are present and usable. Styling should remain simple and consistent with the rest of the application.",Story point: 3,Priority: High,Risk: Low,,,,,,,,
7.2,Implement Recipe Form Input Fields,Implement all required input fields inside the “Create Recipe” form. This task focuses on adding structured and functional form fields so users can enter complete recipe information. Dynamic ingredient fields should allow users to add or remove multiple ingredients.,Story point: 5,Priority: High,Risk: Medium,,,,,,,,
7.3,Add Client-Side Validaiton for Create Recipe Form,Add client-side validation to the “Create Recipe” form to ensure users provide all required information and enter valid numeric values before submitting. This improves user experience by catching errors early and displaying clear feedback messages.,Story point: 3,Priority: High,Risk: Low,,,,,,,,
7.4,Create POST /recipes Endpoint,Create a backend API endpoint that allows the frontend to submit a new recipe to the server. This task focuses on setting up the Express route/controller to receive recipe data in the request body and return proper responses (without implementing database saving yet).,Story point: 3,Priority: High,Risk: Medium,,,,,,,,
7.5,Validate Recipe Data (POST /recipes),"Implement backend-side validation for incoming recipe data sent to POST /recipes. This ensures the server rejects incomplete or invalid recipes even if client-side validation is bypassed. Validation should check required fields, correct types, and valid numeric values before allowing the request to proceed further.",Story point: 3,Priority: High,Risk: Medium,,,,,,,,
7.6,Save recipe to database,"Implement the database persistence layer for recipe creation. After backend validation passes, the server should create a new recipe document/record and save it in the database (MongoDB). The endpoint should return the saved recipe (or its ID) and handle database-related errors properly.",Story point: 3,Priority: High,Risk: Medium,,,,,,,,
7.7,Handle success and error responses,"Implement complete success and error handling for the Create Recipe flow. The backend must return consistent HTTP status codes and response bodies, and the frontend must interpret those responses to show a success message or redirect on success, and show helpful error messages on failure.",Story point: 3,Priority: High,Risk: Medium,,,,,,,,
8.1,Create Edit Recipe UI & Pre-fill Data,Create an “Edit Recipe” view that fetches an existing recipe by ID and pre-fills the form with current data.,Story point: 2,Priority: High,Risk: Low,,,,,,,,
8.2,Enable Editing & Update,Allow users to edit recipe fields and persist changes through a backend update endpoint.,Story point: 3,Priority: High,Risk: Medium,,,,,,,,
9.1,Define recipe schema/model,"As a developer, I want to define the recipe schema/model so that all recipe data follows a consistent structure.",Story point: 2,Priority: Medium,Risk: Medium,,,,,,,,
9.2,Normalize ingredient structure,"As a developer, I want to normalize the ingredient structure so that ingredient data is consistent and queryable.",Story point: 2,Priority: Medium,Risk: Low,,,,,,,,
9.3,Ensure database supports arrays/lists,"As a developer, I want to ensure the database supports arrays/lists so that recipes can store multiple ingredients and steps.",Story point: 2,Priority: Medium,Risk: Medium,,,,,,,,
9.4,Validate schema consistency across frontend and backend,"As a developer, I want to validate schema consistency across frontend and backend so that data integrity is maintained throughout the application.",Story point: 2,Priority: Medium,Risk: Medium,,,,,,,,
10.1,Add Delete Button to Recipe View,"Add a visible ""Delete"" button on the recipe page.",,,,,,,,,,,
10.2,Show Confirmation Modal Before Deletion,Display confirmation dialog before deleting recipe,,,,,,,,,,,
10.3,Create DELETE /recipes/:id Endpoint,Implement backend route to delete recipe by id.                                                             ,,,,,,,,,,,
10.4,Remove Recipe from Database,Delete recipe permanently from database.,,,,,,,,,,,
10.5,Update UI After Deletion,Remove recipe from list immediately after successful deletion.,,,,,,,,,,,
10.6,Handle Deletion Errors,Show error message if recipe not found or server fails.,,,,,,,,,,,
11.1,"Redesign Visual Style (Colors, Typography, Components)","Update the overall visual design of the website by improving the color scheme, typography, and reusable UI components (buttons, forms, cards). Ensure consistency across all pages.",Story point: 2,Priority: Medium,Risk: Medium,,,,,,,,
11.2,Improve Layout & Nagivation Usability,Enhance page structure and simplify navigation to improve readability and user flow.,Story point: 2,Priority: High,Risk: Medium,,,,,,,,
11.3,Optimize Responsiveness & Frontend Cleanup,"Refactor frontend styles to improve responsiveness, maintainability, and cross-browser compatibility.",Story point: 1,Priority: Medium,Risk: Low,,,,,,,,
